id	name	name_src	type	aat_type	close_match
15772	Tapuregeren	alcedo	rio	river	
15773	Tapuru	alcedo	rio	river	
15774	Tapuyas	alcedo	pueblo	town	
15775	Tapuyes	alcedo	people	cultural group	
15776	Taquanhuna	alcedo	rio	river	
15777	Taquari	alcedo	rio	river	
15778	Taquari	alcedo	rio	river	
15779	Taquaso	alcedo	rio	river	
15780	Taquile	alcedo	isla	island	
15781	Taqullponp	alcedo	provincia	province	
15782	Taquir	alcedo	isla	island	
15783	Tar	alcedo	rio	river	
15784	Tarabeni	alcedo	rio	river	
15785	Tarabuco	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=8000065
15786	Taracini	alcedo	rio	river	
15787	Taraco	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=8000192
15788	Taragua	alcedo			
15789	Taraipan	alcedo	isla	island	
15790	Taraita	alcedo	pueblo	town	
15791	Tarama	alcedo	rio	river	
15792	Tarapaca	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=6000135
15793	Tarapaya	alcedo			
15794	Tarapaya	alcedo	puerto	port	https://www.hgis-indias.net/dokuwiki/doku.php?id=8000637
15795	Tarasiama	alcedo	rio	river	
15796	Tarasquillo	alcedo	pueblo	town	
15797	Tarata	alcedo	pueblo	town	
15798	Tarata	alcedo	pueblo	town	
15799	Tarata	alcedo	provincia	province	
15800	Taraumara	alcedo	alcaldía mayor	inhabited place	
15801	Taray	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=6000235
15802	Taraza	alcedo	pueblo	town	
15803	Tareiras	alcedo	pueblo	town	
15804	Tarena	alcedo	rio	river	
15805	Tarequato	alcedo			
15806	Tareyou	alcedo	rio	river	
15807	Targea	alcedo	pueblo	town	
15808	Tariba	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=4000563
15809	Tarija	alcedo	jurisdiccion	administrative division	
15810	Tarija	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=8000017
15811	Tarija	alcedo			
15812	Tarija	alcedo	rio	river	
15813	Tarimangacho	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1002166
15814	Tarimbaro	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1002004
15815	Tarimbo	alcedo	pueblo	town	
15816	Tarma	alcedo	provincia	province	
15817	Taromas	alcedo	pueblo	town	
15818	Tarquino	alcedo	isla	island	
15819	Tarquino	alcedo	rio	river	
15820	Tarragona	alcedo	ciudad	city	
15821	Tarria	alcedo	pueblo	town	
15822	Tartane	alcedo	isla	island	
15823	Taruta	alcedo	isla	island	
15824	Tasache	alcedo	pueblos y tierras indígenas	town	
15825	Tasayal	alcedo			
15826	Taschucango	alcedo	rio	river	
15827	Tasco	alcedo	alcaldía mayor	inhabited place	
